company,category,sales_in_millions_2019,sales_per_unit_thousands_2019,franchised_units_2019,company_owned_units_2019,total_units_2019
Arby's,sandwich,3885,1183,2170,1189,3359
Auntie Annie's,snack,563,562,1200,11,1211
Baskin-Robins,snack,626,247,2524,0,2524
Bojangles,chicken,1290,1717,434,312,746
Burger King,burger,10300,1399,7294,52,7346
Carl's Jr.,burger,1390,1252,1052,48,1100
Checkers and Rally's,burger,862,1087,634,256,890
Chick-Fil-A,chicken,11000,4517,2500,0,2500
Chipotle,global,5520,2195,0,2580,2580
Church' s Texas Chicken,chicken,700,688,885,165,1050
Culver's,burger,1730,2435,726,6,732
Dairy Queen,snack,3760,713,4379,2,4381
Del Taco,global,850,1554,296,300,596
Domino's,pizza,7100,1178,5815,342,6157
Dunkin',snack,9220,968,9630,0,9630
El Pollo Loco,chicken,894,1865,277,203,480
Firehouse Subs,sandwich,855,729,1115,38,1153
Five Guys,burger,1662,1359,872,496,1368
Hardee's,burger,2070,1126,1713,117,1830
In-and-Out Burger,burger,1000,2882,0,354,354
Jack in the Box,burger,3505,1565,2106,137,2243
Jason's Deli,sandwich,705,2478,110,180,290
Jersey Mike's,sandwich,1340,824,1595,72,1667
Jimmy John's,sandwich,2105,759,2735,52,2787
KFC,chicken,4820,1196,4009,56,4065
Little Caecars,pizza,3850,899,3652,561,4213
Marco's Pizza,pizza,628,726,875,40,915
McAlister's Deli,sandwich,719,1629,438,31,469
McDonald's,burger,40413,2912,13154,692,13846
Moe's,global,785,1095,719,3,722
Panda Express,global,3800,1765,138,2046,2184
Panera Bread,sandwich,5925,2751,1202,1023,2225
Papa John's,pizza,2655,837,2544,598,3142
Papa Muphy's,pizza,748,551,1301,67,1368
Pizza Hut,pizza,5380,714,7393,23,7416
Popeyes,chicken,3750,1541,2458,41,2499
Qdoba,global,850,1250,380,350,730
Raising Cane's,chicken,1466,3208,86,371,457
Shake Shack,burger,630,4214,22,163,185
Sonic,burger,4687,1320,3329,197,3526
Starbucks,snack,21550,1454,6768,8273,15041
Steak 'n Shake,burger,932,1673,183,365,548
Subway,sandwich,10000,410,23802,0,23802
Taco Bell,global,11000,1502,6622,467,7089
Tim Horton's,sandwich,840,1165,715,0,715
Tropical Smoothie,snack,577,769,833,1,834
Wendy's,burger,9865,1666,5495,357,5852
Whataburger,burger,2566,3080,127,703,830
Wingstop,chicken,1400,1250,1200,31,1231
Zaxby's,chicken,1840,2030,755,149,904
